street_clean1
E DR
RIVER ST ALLEY
BRODIE LN
WINTER HAVEN RD
WOODLAND AVE
FALKLAND TRACE
KINGSGATE DR
E ANDERSON LN
RAMBLE LN
OAL CREEK BOULEVARD
MAGIN MEADOW DR
PINNACLE CREST LOOP
RAINEY
JOLLYVILLE RD
MUELLER
NECHES
PACK SADDLE PASS
NATURES BEND
SVC RD
LAMBIE CT
E DEAN KEETON
STERZING ST
CAPITAL OF TEXAS
E WILLIAM CANNON
S PLEASANT VALLEY RD
ALAND CIR
WILLOW ST
E CESAR CHAVEZ ALLEY
DOYAL DR
HEMPHILL
STRATHAVEN PASS
N I
S I
RESEARCH TO MOPAC RAMP
E N LOOP BLVD
CLOVIS ST
W TH HALF ST
DAILEY ST
AIRPORT BOULEVARD
SAN JACINTO BOULEVARD
SALADO ST
W CRYSTALBROOK
N LAMAR BOULEVARD
TH ST
E RIVERSIDE DR
E TH ST AND ALLEN ST
FIREOAK DR
TRINITY
AIRPORT BLVD
E ST JOHNS
PARMER LM
CIR S RD AT E WILLIAM CANNON DR
DYWER AVE
SPRING CREEK DR
SPOFFORD ST
AVE F
HOOD CIR
ROBBINS PL
JOSEPHINE ST
BARTON SPRINGS
FARKLAND TRCE
CESAR CAVES ST
MANOR RD
HAMPTON
AEN LN
BUTLER
NEWTON ST
POST OAK
SPARKS AVE
NELLIE ST
W RD ALLEY
SALADO
POPLAR
ELMWOOD
BOWIE
E BRAZOS ST
SAN JACINTO
ELMWOOD PL
ONDANTRA BEND
STEPHEN F ATIN BOULEVARD
OF CARSON RIDGE
NORTHGATE BLVD
E BEN WHITE BLVD
WILLOWRUN DR
ROBERT T MARTINEZ JR ST
DURNESS
CHEVY CHASE DR
E STASSNEY LN
REINLI
LAKELINE DR MALL DR
GEORGIAN DR
DURNESS ST
LYNN ST
LAKELINE MALL DR
W BEN WHITE BLVD
HARRIS BRANCH PKWY
ROBBINS
SANDRA MURAIDA
RAMONA ST
WHITTMAN CV
TEJAS TRL
GARCIA ST
LEON
SABINE
W WILLIAM CANNON
BRIDLE PATH
CHALMERS
E BEN WHITE BPVD
BEECH DR
BURNET
REEDSPORT TRL
LAKE ATIN BLVD
REBEL RD
BRAESWOOD RD
SIMOND
PHILOMENA
PEDERNALES ST
BONNIE ST
W BEN WHITE BLVD QB
RIALTO BLVD
CONNELLY ST
EXPOSITION
ROBERT T MARTINEZ ST
PRESIDENTIAL BOULEVARD
BULL CREEK
OH SVC RD
DAWSON
MIRIAM AVE
MARY
E HWY W BOUND
TOM GREEN ST
MIDDLEFIELD CT
CLEARDAY DR
E CESAR CHAVEZ
HYMEADOW DR
SPRINGER LN
JAMESTOWN DR
BARTON SPRINGS ST
NORTHLAND DR
CLIFF SIDE DR
STEPHEN F ATIN BLVD
W RIVERSIDE DR
S SRVD
N PLAZA
W BEN WHITE BOULEVARD
MOPAC
ST ELMO RD
I
THORNTON RD
BLACKJACK CV
OLANDER ST
COOPER HILL DR
PURPLE SAGE DR
GUNNISON PASS
DRISKILL
W MILTON ST
E ND ALLEY
BELLEVUE PL
MACMORA RD
RADAM LN
WILSON ST
CLERMONT ST
W ND AND ST
BULER
N CAP TX HWY
CROSS CREEK
LEVENWOOD LN
FALKLAND
GROVE BLVD
CLOVERDALE LN
FRANCIA
BENNETT AVE
RENTAL CAR LN
W ST ELMO RD
W STELMO RD
W ST ELMO ST
BARWOOD PARK
SAN MARCOS
SCHRIBER
TUMBLEWEED
DURNESS DR
MONTOPOLIS DR
E ST
MOUNTAIN QUAIL RD
W
E SLAUGHTER LN AT S
WHEELER
SLAUGHTER LN
HOLLY ST
CENTER LAKE DR
BRADFORD DR
FORTVIEW RD
BLUEBONNET LA
SPOFFORD
W CESAR CHAVEZ ST
POND SPRINGS RD
PARK PLAZA DR
DEPEW AVE
ROCK HOLLOW LN
CAMERON RD
OF E CESAR CHAVEZ ST
E RD ST ALLEY
E OLTORFT
MILTON ST
E NDCSTREET
MEDICAL ARTS ST
ACC RED RIVER FDC SMITH
W WILLIAM CANNON DR AT S ST ST
N PROPER
WALTER SEAHOLM DR
WOODWARD ST
TECH RIDGE BLVD
W LYNN ST
W BRAKER LN
EA TH ST
HIDALGO ST
W ND ST ALLEY
HASKELL ST
LAMBIE CIR
E TH ST ALLEY
FORTROSE TER
MILLWAY DR
SPRUCE GUM LN
S W
BERKMAN DR
RAGSDALE ST
ILOH LN
SOUT
DIONDA LN
W ST JOHNS AVE
MENCHACA
COMAL
NW DR
MONROE ST
E ELIZABETH ST
I SR
SVC
WEBBERVILLE RD
NICKERSON ST
E ND ST ALLEY
CONSTANTA DR
NATURE BEND
DAGON DR
COLORADO ST ALLEY
HARRISGLENN DR
DEXTER
NUECES AT
ELKHART ST
DECKERLOYOLA
REDD ST ATIN TX
RUIZ ST
SANDRA MURAIDA WAY
DESSAU RD
N GATE BLVD
JOHNNY MORRIS RD
AURORA DR
BAILEY LN
BINESS CENTER DR
SALADO ST FT GG
ATIN WOODS DR
GARNER
JULIET
JONATHAN DR
SUNDAY DR
HARRIS PARK
W RD ST ALLEY
W ANDERSON
N UPPER DECK
VIDA NUEVA AVE
ELECTRIC DR
WALNUT PARK CROSSING
HIGHLAND HILLS TRL
BLUEBONNET
WALLING
FORTROSE TE
ANNON OAKS TR
WILD BRIAR PASS
SCOTTI WOODS TR
LINTON DR
N LAMAR BLVD APMT
E RUNDBERG LN
SAB GABRIEL
MELRIDGE PL
CLIFFORD AVE
GIVENS AVE
W STASSNEY LN AND W STASSNEY LN
MASTERSON PASS
BLUFF SPRINGS RD
DUBUQUE LN
DRYFIELD DR
WW
OAL CREST
DICKSON DR
RUTLAND DR
E STATE HWY
GRAHAM PL
ROYAL HILL DR
ROBINSON AVE
SETON
N OVERPASS
AIRPORT COMMERCE DR
BRH COUNTRY
CAMP CRAFT RD
THREADGILL ST
ANKEN DR
VALLEY HILL CIR
FLAGSTAFF DR
RUNDBERG LN
DUVAL RD
BUTLER ORES LOT
GROVER
CORRAN FERRY DR
NEWTON
LAKE ATIN BOULEVARD
HEARN ST
N GATE
W MILTON
OERTLI LN
NEWMONT DR
DUVAL
GRACY FARMS LN
PARKER
ORE DISTRICT DR
PARKER LN
CESAR CHAVEZ
FAIRWAY ST
STECK AVE
DIAMONDBACK TRL
LYNDON B JOHNSON
ASTOR PL
SAN PEDRO
W RUNDBERG
